blob_id,polarity,x,y,area,equivalent_diameter,eccentricity,aspect_ratio,min_z,max_z,mean_z,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y
1,negative,1083.5993423660884,3.803232332589666,5.0,2.5231325220201604,0.816496580927726,1.5,-3.612306594848633,-3.50822114944458,-3.561955213546753,1083,3,1085,6
2,negative,710.4929906438979,8.504625829278545,4.0,2.256758334191025,0.0,1.0,-3.7460203170776367,-3.576247453689575,-3.6478333473205566,710,8,712,10
3,negative,1382.5996605111638,35.213329809644804,5.0,2.5231325220201604,0.816496580927726,1.5,-3.992396116256714,-3.542353630065918,-3.8139519691467285,1382,34,1384,37
4,negative,1356.7980934716493,40.60777262412047,5.0,2.5231325220201604,0.816496580927726,1.5,-4.058779239654541,-3.573349714279175,-3.7560951709747314,1356,40,1359,42
5,negative,1153.483721690784,43.50097599004048,4.0,2.256758334191025,0.0,1.0,-3.9311704635620117,-3.6657333374023438,-3.8058810234069824,1153,43,1155,45
6,negative,1475.5056869043408,49.01032424323458,4.0,2.256758334191025,0.9241763718304448,1.5,-3.6827499866485596,-3.532829999923706,-3.6302897930145264,1475,48,1477,51
7,negative,1013.2126464632307,49.41136714403668,5.0,2.5231325220201604,0.816496580927726,1.5,-4.221057415008545,-3.7092127799987793,-4.007637977600098,1012,49,1015,51
8,negative,876.8833922106701,60.31669439848314,9.0,3.385137501286538,0.6945875203623408,1.3333333333333333,-4.148944854736328,-3.5371904373168945,-3.816067934036255,876,59,879,63
9,negative,1490.7581373721387,64.01327576281581,4.0,2.256758334191025,0.7905694150420949,1.5,-4.198808670043945,-3.5205416679382324,-3.7724766731262207,1490,63,1492,66
10,negative,1682.7526309082352,64.99394287940578,4.0,2.256758334191025,0.7905694150420949,1.5,-3.8325815200805664,-3.5003602504730225,-3.6276729106903076,1682,64,1684,67
11,negative,955.9776186637769,74.33784328200464,17.0,4.652426491681278,0.8561899425446332,1.2,-4.303197383880615,-3.62884783744812,-3.9284210205078125,954,72,959,78
12,negative,1072.2473144858493,78.24022707060031,4.0,2.256758334191025,0.9128709291752769,1.5,-3.6922245025634766,-3.5184500217437744,-3.59748911857605,1072,77,1074,80
13,negative,1022.009111739857,89.77438039723044,10.0,3.5682482323055424,0.6123724356957946,1.3333333333333333,-4.821860313415527,-3.624887704849243,-4.170324802398682,1021,88,1024,92
14,negative,1131.5023973988511,92.50342371374995,4.0,2.256758334191025,0.0,1.0,-3.698575735092163,-3.515643358230591,-3.624488353729248,1131,92,1133,94
15,negative,927.0925526579462,114.74368603904807,11.0,3.742410318509555,0.8006525873778298,1.25,-4.471156120300293,-3.5551674365997314,-3.9677534103393555,925,113,930,117
16,negative,1166.8728684707808,125.08999835507149,8.0,3.1915382432114616,0.9301030369550042,1.6666666666666667,-4.013521671295166,-3.5754780769348145,-3.7286226749420166,1166,123,1169,128
17,negative,1060.6114352463962,126.37567202190719,15.0,4.370193722368317,0.4898979485566355,1.0,-5.3722243309021,-3.5338757038116455,-4.359580039978027,1059,125,1063,129
18,negative,1234.5059219281502,131.01402250493834,8.0,3.1915382432114616,0.9325316965091067,2.5,-4.388108730316162,-3.572774648666382,-4.006014823913574,1234,129,1236,134
19,negative,1060.802705910404,133.4024812263451,5.0,2.5231325220201604,0.816496580927726,1.5,-3.7921054363250732,-3.5996479988098145,-3.6911556720733643,1060,133,1063,135
20,negative,853.0040630408614,144.50095516912478,6.0,2.763953195770684,0.7905694150420949,1.5,-3.822659969329834,-3.618803024291992,-3.6987857818603516,852,144,855,146
21,negative,922.7152188265102,146.99840125943436,7.0,2.985410660720923,0.377964473009227,1.0,-4.262980937957764,-3.513751745223999,-3.7573904991149902,922,146,925,149
22,negative,1168.003068721755,150.4719934972247,10.0,3.5682482323055424,0.9295253650231817,2.0,-4.000009059906006,-3.5048317909240723,-3.658522844314575,1167,148,1170,154
23,negative,953.9992447656409,164.18166499509996,10.0,3.5682482323055424,0.6123724356957946,1.3333333333333333,-4.842400074005127,-3.541721820831299,-4.06697940826416,953,163,956,167
24,negative,1070.403520722997,184.24304744179423,5.0,2.5231325220201604,0.816496580927726,1.5,-4.2926344871521,-3.539680242538452,-4.064321041107178,1070,183,1072,186
25,negative,1331.4861349139921,209.97579681807986,6.0,2.763953195770684,0.7905694150420949,1.5,-4.498925685882568,-3.636073350906372,-4.0210185050964355,1331,209,1333,212
26,negative,1050.5014663924255,221.51180411669375,18.0,4.787307364817192,0.8556725445635569,1.5,-4.464900016784668,-3.743743419647217,-4.0491132736206055,1049,219,1053,225
27,negative,999.1256990764971,250.66342389060418,9.0,3.385137501286538,0.6945875203623408,1.3333333333333333,-4.785825252532959,-3.5113656520843506,-4.165904998779297,998,249,1001,253
28,negative,1031.2964865882477,277.42224502691215,17.0,4.652426491681278,0.5929421438433349,1.5,-5.027587413787842,-3.602278470993042,-4.37534236907959,1030,275,1034,281
29,negative,1241.4898741686418,291.03194090377025,6.0,2.763953195770684,0.7905694150420949,1.5,-4.331477165222168,-3.6582372188568115,-4.023498058319092,1241,290,1243,293
30,negative,1244.182928056875,297.55714513076583,11.0,3.742410318509555,0.7474706650229409,1.0,-4.336552143096924,-3.672128200531006,-3.954691171646118,1243,296,1247,300
31,negative,1758.4969430885158,310.000160349357,4.0,2.256758334191025,0.9241763718304448,1.5,-3.698106288909912,-3.5341124534606934,-3.5941355228424072,1758,309,1760,312
32,negative,1175.064114309916,319.8079739313233,12.0,3.9088200952233594,0.7950060587397373,1.6666666666666667,-4.527744770050049,-3.599405527114868,-4.024482250213623,1174,318,1177,323
33,negative,1047.3584729893735,331.3964573357535,18.0,4.787307364817192,0.8750681440048692,1.5,-4.71376895904541,-3.5233492851257324,-4.061072826385498,1046,329,1050,335
34,negative,1507.7377774931067,349.9891264339245,4.0,2.256758334191025,0.7905694150420949,1.5,-4.046672344207764,-3.5356719493865967,-3.8237571716308594,1507,349,1509,352
35,negative,1647.4017993165955,355.21065983899683,5.0,2.5231325220201604,0.816496580927726,1.5,-4.294668674468994,-3.6701347827911377,-3.9941163063049316,1647,354,1649,357
36,negative,711.8024112747793,360.39606383401633,5.0,2.5231325220201604,0.816496580927726,1.5,-3.8687784671783447,-3.5550949573516846,-3.6560165882110596,711,360,714,362
37,negative,1057.8142593523985,405.1664664859533,6.0,2.763953195770684,0.6741998624632421,1.0,-4.066784858703613,-3.562716484069824,-3.7712886333465576,1057,404,1060,407
38,negative,1607.2122835261719,409.41354493233007,5.0,2.5231325220201604,0.816496580927726,1.5,-4.048058032989502,-3.5509884357452393,-3.8462281227111816,1606,409,1609,411
39,negative,990.8423798878765,436.76291623015334,26.0,5.753627391751592,0.8950378280600226,1.3333333333333333,-4.641822338104248,-3.5361125469207764,-4.0186872482299805,988,434,994,442
40,negative,1300.9960243928335,440.9912453210887,9.0,3.385137501286538,0.0,1.0,-4.527061939239502,-3.665144205093384,-4.032473087310791,1300,440,1303,443
41,negative,950.8814957334716,449.91619676172064,9.0,3.385137501286538,0.6944132079458367,1.3333333333333333,-4.4389166831970215,-3.536102771759033,-3.9285948276519775,950,448,953,452
42,negative,1073.7416397572454,449.25022991807214,8.0,3.1915382432114616,0.7384255845247096,1.3333333333333333,-3.800351619720459,-3.5376906394958496,-3.6725330352783203,1072,448,1076,451
43,negative,1314.701992625546,450.5126478943569,12.0,3.9088200952233594,0.645460725553083,1.0,-4.599275588989258,-3.514397621154785,-3.9940950870513916,1313,449,1317,453
44,negative,1520.7853142869778,468.407265436319,5.0,2.5231325220201604,0.816496580927726,1.5,-3.8133955001831055,-3.5313451290130615,-3.737452745437622,1520,468,1523,470
45,negative,1657.662982556285,470.65738079264077,6.0,2.763953195770684,0.8164965809277259,1.0,-3.9351089000701904,-3.502070665359497,-3.7161865234375,1657,470,1660,473
46,negative,1028.2434045476625,473.00222018705693,4.0,2.256758334191025,0.7905694150420949,1.5,-4.025717735290527,-3.6635076999664307,-3.7627763748168945,1028,472,1030,475
47,negative,923.2485690903387,476.31701275190846,9.0,3.385137501286538,0.5612111506528393,1.3333333333333333,-4.4473652839660645,-3.514899969100952,-3.927800178527832,922,475,925,479
48,negative,1078.5452318761718,490.34021179068594,15.0,4.370193722368317,0.7131795312507127,1.25,-4.989344120025635,-3.7477705478668213,-4.285831928253174,1077,488,1081,493
49,negative,769.8303484358066,491.5758826932176,11.0,3.742410318509555,0.747470665022941,1.0,-4.803278923034668,-3.549102306365967,-4.119627475738525,768,490,772,494
50,negative,1325.7624251255295,491.6527664531272,12.0,3.9088200952233594,0.4907192147942729,1.0,-4.365774154663086,-3.50132417678833,-3.889285087585449,1324,490,1328,494
51,negative,1168.3101332324509,493.2290247351134,12.0,3.9088200952233594,0.8163642866341995,1.25,-4.364047527313232,-3.531946897506714,-3.981217384338379,1167,491,1171,496
52,negative,970.0186705359316,503.480857371538,24.0,5.527906391541368,0.9003207382570776,1.8,-4.67909049987793,-3.5014700889587402,-3.9340717792510986,968,500,973,509
53,negative,1221.3886486782285,500.8295003107935,5.0,2.5231325220201604,0.816496580927726,1.5,-4.112204551696777,-3.52180552482605,-3.763456344604492,1221,500,1223,503
54,negative,1115.0109307768055,502.288159322643,7.0,2.985410660720923,0.377964473009227,1.0,-4.56741189956665,-3.710552215576172,-4.035325527191162,1114,501,1117,504
55,negative,1043.5166112317934,502.48955185441963,4.0,2.256758334191025,0.0,1.0,-4.045001983642578,-3.632521629333496,-3.8108816146850586,1043,502,1045,504
56,negative,1239.5043616008818,516.5019699034926,4.0,2.256758334191025,0.0,1.0,-3.6596012115478516,-3.568126916885376,-3.611870527267456,1239,516,1241,518
57,negative,1237.603951743428,524.7896595737948,5.0,2.5231325220201604,0.816496580927726,1.5,-4.0192670822143555,-3.5301480293273926,-3.7702770233154297,1237,524,1239,527
58,negative,684.1663900506671,540.4984312233481,6.0,2.763953195770684,0.8997354108424372,1.3333333333333333,-3.635345458984375,-3.5033929347991943,-3.5534465312957764,683,539,686,543
59,negative,895.2050772734075,541.4072734985459,5.0,2.5231325220201604,0.816496580927726,1.5,-3.781783103942871,-3.601548433303833,-3.6645171642303467,894,541,897,543
60,negative,1500.489875195689,548.5029459319582,4.0,2.256758334191025,0.0,1.0,-4.085902690887451,-3.6848247051239014,-3.8626058101654053,1500,548,1502,550
61,negative,982.7912449146057,556.5963970018018,5.0,2.5231325220201604,0.816496580927726,1.5,-3.8164219856262207,-3.522153615951538,-3.709395170211792,982,556,985,558
62,negative,1037.5027945009442,561.0069440166938,4.0,2.256758334191025,0.9241763718304448,1.5,-3.6436901092529297,-3.5232293605804443,-3.60360050201416,1037,560,1039,563
63,negative,708.2865267266742,566.9910390248488,7.0,2.985410660720923,0.377964473009227,1.0,-4.483956336975098,-3.629000425338745,-3.963003635406494,707,566,710,569
64,negative,1052.1733734729619,607.6072300037912,5.0,2.5231325220201604,0.816496580927726,1.5,-4.1441144943237305,-3.5108110904693604,-3.7848281860351562,1051,607,1054,609
65,negative,1116.493905398044,624.5066504459475,4.0,2.256758334191025,0.0,1.0,-3.776963949203491,-3.539918899536133,-3.6143851280212402,1116,624,1118,626
66,negative,1066.0066585405818,638.2443220763604,4.0,2.256758334191025,0.7905694150420949,1.5,-3.87860369682312,-3.5579612255096436,-3.669640064239502,1065,638,1068,640
67,negative,994.0149175122792,640.7459728423662,4.0,2.256758334191025,0.7905694150420949,1.5,-3.970944404602051,-3.5914835929870605,-3.8143186569213867,993,640,996,642
68,negative,1290.5014962033013,651.9965578456076,4.0,2.256758334191025,0.9241763718304448,1.5,-3.8901572227478027,-3.5615851879119873,-3.7370541095733643,1290,651,1292,654
69,negative,1265.0134570886112,653.9997412879542,7.0,2.985410660720923,0.816496580927726,1.0,-4.213665962219238,-3.514148235321045,-3.806567907333374,1264,653,1267,656
70,negative,906.7508594403448,655.9988026069861,4.0,2.256758334191025,0.7905694150420949,1.5,-3.734780788421631,-3.546661853790283,-3.610995292663574,906,655,908,658
71,negative,1407.0084717994275,678.7559720121629,4.0,2.256758334191025,0.7905694150420949,1.5,-3.798635244369507,-3.534501791000366,-3.6346607208251953,1406,678,1409,680
72,negative,1634.4487710057258,685.7115194117167,14.0,4.222008245644752,0.925952107747518,1.75,-4.190565586090088,-3.5359697341918945,-3.849539041519165,1631,684,1638,688
73,negative,958.0546611034486,695.0620548562334,13.0,4.068428945128219,0.8980932393704276,2.0,-4.412397861480713,-3.509378433227539,-3.9067087173461914,956,694,962,697
74,negative,2023.692291108658,697.7122219764381,10.0,3.5682482323055424,0.6164414002968978,1.0,-4.209457874298096,-3.5594305992126465,-3.815030336380005,2022,696,2026,700
75,negative,1475.689601979762,701.4789645971036,6.0,2.763953195770684,0.8703882797784891,2.0,-4.206833839416504,-3.5428831577301025,-3.8262031078338623,1475,700,1477,704
76,negative,1954.164537476615,702.1545218873432,6.0,2.763953195770684,0.674199862463242,1.0,-4.282325744628906,-3.636442184448242,-3.8600432872772217,1953,701,1956,704
77,negative,1974.6024432546624,707.8038570871189,5.0,2.5231325220201604,0.816496580927726,1.5,-3.9866747856140137,-3.5329790115356445,-3.711986541748047,1974,707,1976,710
78,negative,1579.7649213935458,722.9916905542302,4.0,2.256758334191025,0.7905694150420949,1.5,-3.9783101081848145,-3.5201752185821533,-3.743614912033081,1579,722,1581,725
79,negative,959.1154293573584,748.3627844260722,11.0,3.742410318509555,0.7084437526351621,1.3333333333333333,-4.108365535736084,-3.505434989929199,-3.7713544368743896,958,747,961,751
80,negative,1177.328406343246,753.51010212813,6.0,2.763953195770684,0.921771963101181,1.0,-3.7410058975219727,-3.5094668865203857,-3.5690488815307617,1176,752,1180,756
81,negative,1044.1906305329667,754.617686979761,5.0,2.5231325220201604,0.816496580927726,1.5,-3.9270527362823486,-3.512986898422241,-3.7088844776153564,1043,754,1046,756
82,negative,1086.1658381430452,762.8464062148072,6.0,2.763953195770684,0.674199862463242,1.0,-4.157880783081055,-3.576570749282837,-3.7701609134674072,1085,762,1088,765
83,negative,902.7927985517871,768.4008851607995,5.0,2.5231325220201604,0.816496580927726,1.5,-3.7210702896118164,-3.5774080753326416,-3.6619396209716797,902,768,905,770
84,negative,1038.436966521037,784.4233333600179,14.0,4.222008245644752,0.6124290672687138,1.25,-4.289767265319824,-3.503997802734375,-3.8887317180633545,1037,783,1042,787
